Soldier_ID,TimeStamp,HeartRate,Latitude,Longitude,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Linear_Accelerometer_X,Linear_Accelerometer_Y,Linear_Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,uncalib_Gyro_X,uncalib_Gyro_Y,uncalib_Gyro_Z,Gyro_rotation_vector_X,Gyro_rotation_vector_Y,Gyro_rotation_vector_Z,Gravity_X,Gravity_Y,Gravity_Z,User_Activity
0,10/6/23 3:54 PM,124,33.6461816,72.9982787,-6.83629,-1.71326,6.9344,-16.64629,-11.52326,-2.8756,-16.59,-2.1,5.39,-16.59,-2.1,0.07,0.91297,0.26718,-0.00475,-7.16585,-1.70819,6.47326,Start_Activity
0,10/6/23 3:54 PM,124,33.6461816,72.9982787,-5.61117,-3.33081,8.96591,-15.42117,-13.14081,-0.84409,101.5,-114.38,11.34,101.5,-114.38,0.07,0.92139,0.33265,-0.04521,-7.44548,-0.46695,6.36531,Start_Activity
0,10/6/23 3:54 PM,125,33.6461816,72.9982787,-2.24447,-0.62692,8.61416,-12.05447,-10.43692,-1.19584,-11.76,0.7,43.61,-11.76,0.7,0.07,0.92235,0.38475,0.0043,-3.93286,-1.45258,8.86527,Start_Activity
0,10/6/23 3:54 PM,125,33.6461816,72.9982787,-3.90509,-3.38106,11.88276,-13.71509,-13.19106,2.07276,-1.12,49.42,13.79,-1.12,49.42,0.07,0.90927,0.40729,-0.02531,-3.08253,-2.40796,8.99278,Start_Activity
0,10/6/23 3:54 PM,124,33.6461816,72.9982787,-2.02911,-1.7659,7.59482,-11.83911,-11.5759,-2.21518,-4.83,24.22,-0.91,-4.83,24.22,0.07,0.90984,0.41077,-0.01713,-2.64877,-2.52794,9.09747,Start_Activity
0,10/6/23 3:54 PM,123,33.6461816,72.9982787,-3.6347,-2.266,6.86262,-13.4447,-12.076,-2.94738,14.28,-58.52,-17.01,14.28,-58.52,0.07,0.87029,0.4662,-0.01416,-3.7018,-2.79617,8.63994,Start_Activity
0,10/6/23 3:54 PM,123,33.6461816,72.9982787,-3.29492,-1.69651,8.55195,-13.10492,-11.50651,-1.25805,-15.12,-3.22,7.56,-15.12,-3.22,0.07,0.86203,0.49965,0.00373,-3.89488,-2.50499,8.64438,Start_Activity
0,10/6/23 3:54 PM,125,33.6461816,72.9982787,-2.18465,-1.55773,7.70489,-11.99465,-11.36773,-2.10511,-4.41,-3.29,40.53,-4.41,-3.29,0.07,0.82774,0.55821,-0.00166,-3.57053,-1.68301,8.97715,Start_Activity
0,10/6/23 3:54 PM,125,33.6462688,72.9965494,-5.24028,-1.95254,8.97309,-15.05028,-11.76254,-0.83691,-10.92,63.63,18.55,-10.92,63.63,0.07,0.8445,0.51155,0.02694,-3.8925,-2.1694,8.7357,Start_Activity
0,10/6/23 3:54 PM,124,33.6462688,72.9965494,-3.6682,-2.38086,7.26461,-13.4782,-12.19086,-2.54539,14.7,-27.79,-11.9,14.7,-27.79,0.07,0.83464,0.52999,-0.00467,-3.45024,-1.55027,9.04781,Start_Activity
